threadId,layerId,Cout,Cin,H,W,R,S,type
0,0,1,1,32,32,1,1,0
0,1,6,1,28,28,5,5,1
0,2,6,6,14,14,2,2,0
0,3,16,6,10,10,5,5,1
0,4,16,16,5,5,2,2,0
0,5,120,16,1,1,5,5,1
0,6,84,120,1,1,1,1,3
0,7,10,84,1,1,1,1,3
